Scenario,URI,Source,,,
no items,,,,,
2000 items,b11830133,,,,
1 item,b12078521,,,,
some items,b13689507,,,,
princeton,pb176961,,,,
harvard,hb990049360620203941,,,,
columbia,cb8231282,,,,
alternative title,b10011745,,,,
"description, subject literal, dates, mediatype, carriertype, issuance, identifiers,",b11253008,,,,
creator literal,b19995767,,,,
"resource type, language",b10392955,,,,
"publisherLiteral, place of publication, dimensions, extent, notes, ",b10001936,,,,
"LCC classification, LCCN, isbn, ISSN,",b10681848,,,,
OCLC,b10781594,,,,
series statement 810,b19995767,DSP,,,
series statement 800,b10762541,DSP,,,
series statement 490,b15287586,DSP,,,
uniform title 830,b15287586,DSP,,,
uniform title 130,b20169090,DSP,,,
uniform title 730 ,b12157346,DSP,,,
supplementary content,b18932917,,,,
part of,b12155601,,,,
genreForm,b17678033,,,,
publication statement,b20972964,,,,
bf:note blanknodes,b18064236,,,,
Dates of serial publication,b10018031,,,,
indentifier entries,b10681848,,,,
former title,b11076048,,,,
"contents, contents title",b11055155,,,,red text indicates sourced from DSP
donor,b19683865,,,,
nypl:oclc,b10011745,,,,
harvard nypl:oclc,hb990049360620203941,,,,
super bib,b12082323,,,,
parallels,,,,,
parallel title,b19683865,,,,
parallel place of plublication,,,,,
parallel title display,b19683865,,,,
parallel series statement via linked 490,b19683865,,,,
multiple 880s,b11009512,DSP,,,
malformed 880 $6 reverse link (should pass over),21581489,DSP,,,
electronic resource,,,,,
multiple urls,b10011374,DSP,,,
no label,b12082323,DSP,,,
respresenting aeon link,b10204814,DSP,,,
microform,b19995767,DSP,,,
contributor role,b10681848,DSP,,,
collection,b10737605,DSP,,,
vhs,b20169090,DSP,,,
teacher set,b19818041,DSP,,,
dvd,b12157346,DSP,,,
blu ray,b20289329,DSP,,,
music non-cd,b11070917,DSP,,,
spoken word,b11079574,DSP,,,
"film, slide, etc",b11253008,DSP,,,
computer file,b13706421,DSP,,,
manuscript,b20827868,DSP,,,
"publisher literal 260$b, place of publication 260",b10001936,DSP,,,
"publisher literal 264$b, place of publication 264",b20549111,DSP,,,
"publisher literal both 260 and 264, place of publication ditto",b16734592,DSP,,,
rectype g,b18064236,DSP,,,
notes blank nodes,b18064236,DSP,,,
" basic (ind2 "" "") Contents (dcterms:tableOfContents)",b18064236,DSP,,,
"enhanced (ind2 ""0"") Contents (dcterms:tableOfContents) (and nypl:contentsTitle",b11055155,DSP,,,
catalogBibLocation,b16369525,DSP,,,
cancelled/invalid isbn,b12082323,DSP,,,
HL HD,hl-990000453050203941,DSP,,,
harvard recap,hl-990137923810203941,DSP,,,
otf bib,,,,,
excluded subfields,,,,,
oclc 991 $a,b11074570,DSP,,,
oclc 035 $a,b20522059,DSP,,,
oclc empty,pul-99107030473506421,DSP,,,
identifiers,b10001936,,,,
electronic resource multiple urls,,,,,
electronic resource fields,b10011374,,,,
"expected owner nypl, ordered correctly, physical location, enumeration chronology",b19834195,,,,
expected owner princeton,pb176961,,,,
itype over 130,b17655587,,,,
item deleted,,DSP,,,
item recap-pul,,DSP,,,
item opac message,b10008083,DSP,,,
item catalogitemtype,b23971415,DSP,,,
item itype over 100,b23937039,DSP,,,
item checked out,b10008083,DSP,,,
item not requestable,,DSP,,,
item princeton,,DSP,,,
item 876 $x private,,DSP,,,
item 900 $a private,,DSP,,,
item code 2,,DSP,,,
item HL HD,,DSP,,,
item HL recap,,DSP,,,
item nypl recap serial,,DSP,,,
item nypl recap mono,,DSP,,,
item recap partner,,DSP,,,
nypl 0 holdings 2 items (1 electronic,b10001936,DHI,,,
columba 0 holdings 1 item,cb578091,DHI,,,
1 holding 12 items,h1032862,DHI,,,
columbia 1 item,ci925114,DHI,,,
missing bib item,i14783826,DHI,,,
no electronic resources,cb1091052,,,,